[2017-11-20 02:15] [ALPM] upgraded iease-music (1.0.2-1 -> 1.0.3-0)
[2017-11-20 02:15] [ALPM] upgraded iproute2 (4.13.0-1 -> 4.14.1-2)
[2017-11-20 02:15] [ALPM] upgraded lib32-dbus (1.12.0-1 -> 1.12.2-1)
[2017-11-20 02:15] [ALPM] upgraded lib32-harfbuzz (1.4.6-1 -> 1.7.1-1)
[2017-11-20 02:15] [ALPM] upgraded lib32-fontconfig (2.12.6-1 -> 2.12.6+5+g665584a-1)
[2017-11-20 02:17] [ALPM] upgraded lib32-icu (59.1-1 -> 60.1-1)
[2017-11-20 02:17] [ALPM] upgraded lib32-libxml2 (2.9.4+16+g07418011-1 -> 2.9.4+16+g07418011-2)
[2017-11-20 02:17] [ALPM] upgraded lib32-libglvnd (0.2.999+g4ba53457-2 -> 1.0.0-1)
[2017-11-20 02:17] [ALPM] upgraded lib32-libogg (1.3.3-1 -> 1.3.3-2)
[2017-11-20 02:17] [ALPM] upgraded lib32-libpsl (0.18.0-1 -> 0.18.0-2)
[2017-11-20 02:17] [ALPM] upgraded lib32-nss (3.33-1 -> 3.34-1)
[2017-11-20 02:17] [ALPM] upgraded lib32-tdb (1.3.12-1 -> 1.3.15-1)
[2017-11-20 02:17] [ALPM] upgraded libcdr (0.1.4-1 -> 0.1.4-2)
[2017-11-20 02:17] [ALPM] upgraded libe-book (0.1.2-7 -> 0.1.2-8)
[2017-11-20 02:17] [ALPM] upgraded libfbclient (2.5.7.27050-3 -> 2.5.7.27050-4)
[2017-11-20 02:17] [ALPM] upgraded libmspub (0.1.2-7 -> 0.1.2-8)
[2017-11-20 02:17] [ALPM] upgraded libpipeline (1.4.2-1 -> 1.5.0-1)
[2017-11-20 02:17] [ALPM] upgraded libqalculate (2.1.0-1 -> 2.1.0-2)
[2017-11-20 02:17] [ALPM] upgraded poppler (0.61.0-2 -> 0.61.1-1)
[2017-11-20 02:17] [ALPM] upgraded libvisio (0.1.6-1 -> 0.1.6-2)
[2017-11-20 02:17] [ALPM] upgraded libzmf (0.0.2-1 -> 0.0.2-2)
[2017-11-20 02:17] [ALPM] upgraded raptor (2.0.15-6 -> 2.0.15-7)
[2017-11-20 02:17] [ALPM] upgraded libreoffice-fresh (5.4.3-1 -> 5.4.3-2)
[2017-11-20 02:17] [ALPM] upgraded nodejs (8.8.1-1 -> 9.2.0-1)
[2017-11-20 02:17] [ALPM] upgraded poppler-qt5 (0.61.0-2 -> 0.61.1-1)
[2017-11-20 02:17] [ALPM] upgraded python-setuptools (1:36.7.1-1 -> 1:36.7.2-1)
[2017-11-20 02:17] [ALPM] upgraded python-pip (9.0.1-2 -> 9.0.1-3)
[2017-11-20 02:17] [ALPM] upgraded python2-setuptools (1:36.7.1-1 -> 1:36.7.2-1)
[2017-11-20 02:17] [ALPM] upgraded python2-pip (9.0.1-2 -> 9.0.1-3)
[2017-11-20 02:17] [ALPM] upgraded qt5-location (5.9.2-1 -> 5.9.2-2)
[2017-11-20 02:17] [ALPM] upgraded qt5-webengine (5.9.2-2 -> 5.9.2-3)
[2017-11-20 02:17] [ALPM] upgraded qt5-webkit (5.212.0alpha2-7 -> 5.212.0alpha2-8)
[2017-11-20 02:17] [ALPM] upgraded telegram-desktop-systemqt (1.1.23-1 -> 1.1.23-2)
[2017-11-20 02:17] [ALPM] upgraded thin-provisioning-tools (0.7.4-1 -> 0.7.5-1)
[2017-11-20 02:17] [ALPM] upgraded visual-studio-code (1.18.0-2 -> 1.18.1-1)
[2017-11-20 02:17] [ALPM] upgraded volume_key (0.3.9-3 -> 0.3.9-4)
[2017-11-20 02:17] [ALPM] upgraded webkit2gtk (2.18.3-1 -> 2.18.3-2)
[2017-11-20 18:02] [ALPM] upgraded libtiff (4.0.8-2 -> 4.0.9-1)
[2017-11-20 18:02] [ALPM] upgraded firefox-nightly-i18n-zh-cn (59.0a1_20171119.11-1 -> 59.0a1_20171119.23-1)
[2017-11-20 18:02] [ALPM] upgraded libcdio-paranoia (10.2+0.94+1-2 -> 10.2+0.94+2-1)
